id,password_hash,first_name,last_name,department,age,sex,year_of_study,section,course_results
001,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,John,Doe,CS,20,M,1,A,"CS101:45:48:A:3|ENG101:48:49:A:2|MATH101:40:45:B:4|PHYS101:38:42:B:3"
002,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Jane,Smith,CS,19,F,1,A,"CS101:50:50:A:3|ENG101:49:50:A:2|MATH101:48:47:A:4|PHYS101:45:46:A:3"
003,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Michael,Johnson,CS,21,M,2,B,"CS201:42:44:B:4|CS202:40:38:C:3|DB101:45:43:B:3|MATH201:35:37:C:3"
004,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Emily,Williams,CS,20,F,2,A,"CS201:48:49:A:4|CS202:46:45:A:3|DB101:47:48:A:3|MATH201:44:46:A:3"
005,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,David,Brown,CS,22,M,3,A,"AI101:45:47:A:4|CS301:40:42:B:4|CS302:38:40:C:3|CS303:42:43:B:3"
006,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Sarah,Davis,EE,19,F,1,A,"EE101:46:47:A:4|ENG101:48:49:A:2|MATH101:45:44:B:4|PHYS101:43:45:B:3"
007,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Robert,Miller,EE,20,M,2,B,"EE201:41:43:B:4|EE202:39:40:C:3|MATH201:38:39:C:3"
008,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Lisa,Wilson,ME,21,F,1,A,"ENG101:49:50:A:2|MATH101:46:45:A:4|ME101:47:48:A:3|PHYS101:44:46:A:3"
009,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,James,Moore,ME,22,M,2,A,"MATH201:40:42:B:3|ME201:43:45:B:4|ME202:42:44:B:3"
010,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,Amanda,Taylor,CS,19,F,1,B,"CS101:44:46:A:3|ENG101:46:47:A:2|MATH101:42:43:B:4|PHYS101:40:41:B:3"
0576,7270c9de93e68ec9,Fikremariam,Debela,Software engineering,21,M,3,B,""
0577,7270c9de93e68ec9,fikremariam,debela,SE,21,M,3,B,"CS303:50:45:A:3"
